gameid,date,patch,teamname,side,result,game_mins,got_fd,got_more_grubs,scenario,golddiffat15,xpdiffat15,kills,deaths,firstbaron,firsttower,turretplates,opp_turretplates
13079-13079_game_2,2026-01-22 10:07:53,16.01,EDward Gaming,Blue,1,32.516666666666666,1,0,FD Only,,,20,13,,0.0,,
13079-13079_game_2,2026-01-22 10:07:53,16.01,ThunderTalk Gaming,Red,0,32.516666666666666,0,1,More Grubs Only,,,13,20,,1.0,,
13078-13078_game_1,2026-01-22 07:11:47,16.01,Oh My God,Blue,0,32.016666666666666,0,1,More Grubs Only,,,5,23,,1.0,,
13078-13078_game_1,2026-01-22 07:11:47,16.01,Ultra Prime,Red,1,32.016666666666666,1,0,FD Only,,,23,5,,0.0,,
13080-13080_game_1,2026-01-22 11:16:23,16.01,Team WE,Blue,1,30.833333333333332,1,1,FD + More Grubs,,,18,17,,1.0,,
13080-13080_game_1,2026-01-22 11:16:23,16.01,Ninjas in Pyjamas,Red,0,30.833333333333332,0,0,Neither,,,17,18,,0.0,,
13080-13080_game_2,2026-01-22 12:08:44,16.01,Team WE,Blue,0,33.6,0,1,More Grubs Only,,,10,25,,1.0,,
13080-13080_game_2,2026-01-22 12:08:44,16.01,Ninjas in Pyjamas,Red,1,33.6,1,0,FD Only,,,25,10,,0.0,,
13080-13080_game_3,2026-01-22 13:03:23,16.01,Team WE,Blue,0,33.95,1,0,FD Only,,,6,20,,0.0,,
13080-13080_game_3,2026-01-22 13:03:23,16.01,Ninjas in Pyjamas,Red,1,33.95,0,1,More Grubs Only,,,20,6,,1.0,,
13081-13081_game_3,2026-01-23 09:10:41,16.01,Oh My God,Red,1,29.033333333333335,1,1,FD + More Grubs,,,20,8,,1.0,,
13082-13082_game_1,2026-01-23 10:20:25,16.01,ThunderTalk Gaming,Blue,1,32.46666666666667,1,1,FD + More Grubs,,,25,19,,1.0,,
13082-13082_game_1,2026-01-23 10:20:25,16.01,EDward Gaming,Red,0,32.46666666666667,0,0,Neither,,,19,25,,0.0,,
13082-13082_game_2,2026-01-23 11:15:41,16.01,ThunderTalk Gaming,Blue,0,36.1,1,0,FD Only,,,8,20,,0.0,,
13082-13082_game_2,2026-01-23 11:15:41,16.01,EDward Gaming,Red,1,36.1,0,1,More Grubs Only,,,20,8,,1.0,,
13081-13081_game_1,2026-01-23 07:11:20,16.01,LGD Gaming,Blue,0,46.38333333333333,0,1,More Grubs Only,,,14,18,,1.0,,
13081-13081_game_1,2026-01-23 07:11:20,16.01,Oh My God,Red,1,46.38333333333333,1,0,FD Only,,,18,15,,0.0,,
13081-13081_game_2,2026-01-23 08:20:58,16.01,LGD Gaming,Blue,1,27.816666666666666,1,1,FD + More Grubs,,,18,1,,1.0,,
13081-13081_game_2,2026-01-23 08:20:58,16.01,Oh My God,Red,0,27.816666666666666,0,0,Neither,,,1,18,,0.0,,
13081-13081_game_3,2026-01-23 09:10:41,16.01,LGD Gaming,Blue,0,29.033333333333335,0,0,Neither,,,8,20,,0.0,,
13082-13082_game_3,2026-01-23 12:14:49,16.01,EDward Gaming,Blue,1,36.53333333333333,1,0,FD Only,,,18,10,,1.0,,
13082-13082_game_3,2026-01-23 12:14:49,16.01,ThunderTalk Gaming,Red,0,36.53333333333333,0,1,More Grubs Only,,,10,18,,0.0,,
13083-13083_game_1,2026-01-23 13:26:53,16.01,Bilibili Gaming,Blue,0,40.766666666666666,0,1,More Grubs Only,,,16,21,,0.0,,
13083-13083_game_1,2026-01-23 13:26:53,16.01,JD Gaming,Red,1,40.766666666666666,1,0,FD Only,,,20,16,,1.0,,
13083-13083_game_2,2026-01-23 14:37:50,16.01,JD Gaming,Blue,1,35.06666666666667,1,0,FD Only,,,15,17,,0.0,,
13083-13083_game_2,2026-01-23 14:37:50,16.01,Bilibili Gaming,Red,0,35.06666666666667,0,1,More Grubs Only,,,17,15,,1.0,,
13084-13084_game_3,2026-01-24 11:02:10,16.01,Top Esports,Blue,0,29.183333333333334,0,1,More Grubs Only,,,8,18,,1.0,,
13084-13084_game_3,2026-01-24 11:02:10,16.01,Anyone's Legend,Red,1,29.183333333333334,1,0,FD Only,,,18,8,,0.0,,
13085-13085_game_1,2026-01-24 12:22:10,16.01,JD Gaming,Blue,0,31.9,0,1,More Grubs Only,,,4,18,,0.0,,
13085-13085_game_1,2026-01-24 12:22:10,16.01,Weibo Gaming,Red,1,31.9,1,0,FD Only,,,18,4,,1.0,,
13084-13084_game_1,2026-01-24 09:15:02,16.01,Anyone's Legend,Blue,1,32.4,0,0,Neither,,,23,8,,1.0,,
13084-13084_game_1,2026-01-24 09:15:02,16.01,Top Esports,Red,0,32.4,1,1,FD + More Grubs,,,8,23,,0.0,,
13084-13084_game_2,2026-01-24 10:10:20,16.01,Anyone's Legend,Blue,0,28.55,0,0,Neither,,,11,20,,0.0,,
13084-13084_game_2,2026-01-24 10:10:20,16.01,Top Esports,Red,1,28.55,1,1,FD + More Grubs,,,20,11,,1.0,,
13085-13085_game_2,2026-01-24 13:19:44,16.01,Weibo Gaming,Blue,1,31.316666666666666,0,1,More Grubs Only,,,8,3,,1.0,,
13085-13085_game_2,2026-01-24 13:19:44,16.01,JD Gaming,Red,0,31.316666666666666,1,0,FD Only,,,3,8,,0.0,,
13086-13086_game_3,2026-01-25 11:29:58,16.01,Team WE,Blue,1,38.85,0,0,Neither,,,18,19,,1.0,,
13086-13086_game_3,2026-01-25 11:29:58,16.01,Ninjas in Pyjamas,Red,0,38.85,1,1,FD + More Grubs,,,19,18,,0.0,,
13086-13086_game_1,2026-01-25 09:14:08,16.01,Team WE,Blue,1,44.28333333333333,1,0,FD Only,,,16,16,,1.0,,
13086-13086_game_1,2026-01-25 09:14:08,16.01,Ninjas in Pyjamas,Red,0,44.28333333333333,0,1,More Grubs Only,,,16,16,,0.0,,
13086-13086_game_2,2026-01-25 10:20:15,16.01,Team WE,Blue,0,36.4,0,0,Neither,,,15,22,,1.0,,
13086-13086_game_2,2026-01-25 10:20:15,16.01,Ninjas in Pyjamas,Red,1,36.4,1,1,FD + More Grubs,,,22,15,,0.0,,
13087-13087_game_1,2026-01-25 12:44:41,16.01,Invictus Gaming,Blue,0,33.233333333333334,0,1,More Grubs Only,,,8,20,,0.0,,
13087-13087_game_1,2026-01-25 12:44:41,16.01,Top Esports,Red,1,33.233333333333334,1,0,FD Only,,,20,8,,1.0,,
13087-13087_game_2,2026-01-25 13:41:49,16.01,Top Esports,Blue,1,25.3,1,0,FD Only,,,18,5,,1.0,,
13087-13087_game_2,2026-01-25 13:41:49,16.01,Invictus Gaming,Red,0,25.3,0,1,More Grubs Only,,,5,18,,0.0,,
13088-13088_game_1,2026-01-26 09:13:55,16.01,ThunderTalk Gaming,Blue,0,26.15,1,1,FD + More Grubs,,,3,19,,0.0,,
13088-13088_game_1,2026-01-26 09:13:55,16.01,Team WE,Red,1,26.15,0,0,Neither,,,19,3,,1.0,,
13088-13088_game_2,2026-01-26 10:04:06,16.01,ThunderTalk Gaming,Blue,0,39.61666666666667,0,1,More Grubs Only,,,25,24,,0.0,,
13088-13088_game_2,2026-01-26 10:04:06,16.01,Team WE,Red,1,39.61666666666667,1,0,FD Only,,,24,25,,1.0,,
13089-13089_game_1,2026-01-26 11:24:45,16.01,JD Gaming,Blue,1,39.233333333333334,0,0,Neither,,,16,11,,1.0,,
13089-13089_game_1,2026-01-26 11:24:45,16.01,Bilibili Gaming,Red,0,39.233333333333334,1,1,FD + More Grubs,,,11,16,,0.0,,
13089-13089_game_2,2026-01-26 12:31:33,16.01,JD Gaming,Blue,0,35.3,0,1,More Grubs Only,,,21,14,,1.0,,
13089-13089_game_2,2026-01-26 12:31:33,16.01,Bilibili Gaming,Red,1,35.3,1,0,FD Only,,,14,21,,0.0,,
13089-13089_game_3,2026-01-26 13:31:07,16.01,Bilibili Gaming,Blue,0,29.266666666666666,0,1,More Grubs Only,,,9,17,,0.0,,
13089-13089_game_3,2026-01-26 13:31:07,16.01,JD Gaming,Red,1,29.266666666666666,1,0,FD Only,,,17,9,,1.0,,
13090-13090_game_1,2026-01-27 07:13:52,16.02,LNG Esports,Blue,1,25.95,0,1,More Grubs Only,,,14,5,,0.0,,
13090-13090_game_1,2026-01-27 07:13:52,16.02,Ultra Prime,Red,0,25.95,1,0,FD Only,,,5,14,,1.0,,
13090-13090_game_2,2026-01-27 08:02:32,16.02,LNG Esports,Blue,1,28.95,1,0,FD Only,,,21,3,,1.0,,
13090-13090_game_2,2026-01-27 08:02:32,16.02,Ultra Prime,Red,0,28.95,0,1,More Grubs Only,,,3,21,,0.0,,
13091-13091_game_1,2026-01-27 09:06:42,16.02,Top Esports,Blue,0,29.716666666666665,1,1,FD + More Grubs,,,7,35,,1.0,,
13091-13091_game_1,2026-01-27 09:06:42,16.02,Weibo Gaming,Red,1,29.716666666666665,0,0,Neither,,,35,7,,0.0,,
13091-13091_game_2,2026-01-27 10:00:37,16.02,Weibo Gaming,Blue,0,24.95,0,0,Neither,,,6,20,,0.0,,
13091-13091_game_2,2026-01-27 10:00:37,16.02,Top Esports,Red,1,24.95,1,1,FD + More Grubs,,,20,6,,1.0,,
13091-13091_game_3,2026-01-27 10:47:08,16.02,Top Esports,Blue,0,32.75,0,1,More Grubs Only,,,13,23,,0.0,,
13091-13091_game_3,2026-01-27 10:47:08,16.02,Weibo Gaming,Red,1,32.75,1,0,FD Only,,,23,13,,1.0,,
13092-13092_game_1,2026-01-27 11:56:02,16.02,Invictus Gaming,Blue,0,32.3,1,1,FD + More Grubs,,,6,16,,0.0,,
13092-13092_game_1,2026-01-27 11:56:02,16.02,Anyone's Legend,Red,1,32.3,0,0,Neither,,,16,6,,1.0,,
13092-13092_game_2,2026-01-27 12:50:48,16.02,Anyone's Legend,Blue,0,32.25,0,0,Neither,,,10,26,,0.0,,
13092-13092_game_2,2026-01-27 12:50:48,16.02,Invictus Gaming,Red,1,32.25,1,1,FD + More Grubs,,,26,10,,1.0,,
